id_pl,company_id,year,sales,operating_profit,net_profit,eps,id_bs,equity,reserves,borrowings,assets,liabilities,net_profit_margin,operating_profit_margin,return_on_equity,return_on_capital_employed,return_on_assets,debt_to_equity,interest_coverage_ratio,net_debt,high_leverage_flag,debt_free,asset_turnover,company_name,anchor_year,revenue_cagr_3yr_value,revenue_cagr_3yr_flag,revenue_cagr_5yr_value,revenue_cagr_5yr_flag,pat_cagr_3yr_value,pat_cagr_3yr_flag,pat_cagr_5yr_value,pat_cagr_5yr_flag
1,RELIANCE,2022,50000.0,11000.0,7500.0,45.0,1,25000.0,35000.0,12000.0,80000.0,20000.0,0.15,0.22,0.3,0.1375,0.09375,0.48,,12000.0,False,LEVERAGED,0.625,Reliance Industries Ltd,2024,,insufficient_data,,insufficient_data,,insufficient_data,,insufficient_data
2,RELIANCE,2023,56000.0,12320.0,8400.0,53.5,2,28000.0,39000.0,11000.0,88000.0,21000.0,0.15,0.22,0.3,0.14,0.09545454545454546,0.39285714285714285,,11000.0,False,LEVERAGED,0.6363636363636364,Reliance Industries Ltd,2024,,insufficient_data,,insufficient_data,,insufficient_data,,insufficient_data
3,RELIANCE,2024,62000.0,13640.0,9300.0,62.0,3,31000.0,43000.0,10000.0,96000.0,22000.0,0.15,0.22,0.3,0.14208333333333334,0.096875,0.3225806451612903,,10000.0,False,LEVERAGED,0.6458333333333334,Reliance Industries Ltd,2024,,insufficient_data,,insufficient_data,,insufficient_data,,insufficient_data
4,TCS,2022,50000.0,11000.0,7500.0,45.0,4,25000.0,35000.0,12000.0,80000.0,20000.0,0.15,0.22,0.3,0.1375,0.09375,0.48,,12000.0,False,LEVERAGED,0.625,Tata Consultancy Services Ltd,2024,,insufficient_data,,insufficient_data,,insufficient_data,,insufficient_data
5,TCS,2023,56000.0,12320.0,8400.0,53.5,5,28000.0,39000.0,11000.0,88000.0,21000.0,0.15,0.22,0.3,0.14,0.09545454545454546,0.39285714285714285,,11000.0,False,LEVERAGED,0.6363636363636364,Tata Consultancy Services Ltd,2024,,insufficient_data,,insufficient_data,,insufficient_data,,insufficient_data
6,TCS,2024,62000.0,13640.0,9300.0,62.0,6,31000.0,43000.0,10000.0,96000.0,22000.0,0.15,0.22,0.3,0.14208333333333334,0.096875,0.3225806451612903,,10000.0,False,LEVERAGED,0.6458333333333334,Tata Consultancy Services Ltd,2024,,insufficient_data,,insufficient_data,,insufficient_data,,insufficient_data
7,HDFCBANK,2022,50000.0,11000.0,7500.0,45.0,7,25000.0,35000.0,12000.0,80000.0,20000.0,0.15,0.22,0.3,0.1375,0.09375,0.48,,12000.0,False,LEVERAGED,0.625,HDFC Bank Ltd,2024,,insufficient_data,,insufficient_data,,insufficient_data,,insufficient_data
8,HDFCBANK,2023,56000.0,12320.0,8400.0,53.5,8,28000.0,39000.0,11000.0,88000.0,21000.0,0.15,0.22,0.3,0.14,0.09545454545454546,0.39285714285714285,,11000.0,False,LEVERAGED,0.6363636363636364,HDFC Bank Ltd,2024,,insufficient_data,,insufficient_data,,insufficient_data,,insufficient_data
9,HDFCBANK,2024,62000.0,13640.0,9300.0,62.0,9,31000.0,43000.0,10000.0,96000.0,22000.0,0.15,0.22,0.3,0.14208333333333334,0.096875,0.3225806451612903,,10000.0,False,LEVERAGED,0.6458333333333334,HDFC Bank Ltd,2024,,insufficient_data,,insufficient_data,,insufficient_data,,insufficient_data
10,INFY,2022,50000.0,11000.0,7500.0,45.0,10,25000.0,35000.0,12000.0,80000.0,20000.0,0.15,0.22,0.3,0.1375,0.09375,0.48,,12000.0,False,LEVERAGED,0.625,Infosys Ltd,2024,,insufficient_data,,insufficient_data,,insufficient_data,,insufficient_data
